Distance_(microns),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
,,771.595,2.803
,,772.590,2.803
,,773.586,2.803
,,774.582,2.803
,,775.577,2.803
,,776.573,2.803
,,777.568,2.803
,,778.564,2.803
,,779.560,2.803
,,780.555,2.803
,,781.551,2.803
,,782.546,2.803
,,783.542,2.803
,,784.538,2.803
,,785.533,2.803
,,786.529,2.803
,,787.524,2.803
,,788.520,2.803
,,789.516,2.803
,,790.511,2.803
,,791.507,2.803
,,792.502,2.803
,,793.498,2.803
,,794.494,2.803
,,795.489,2.803
,,796.485,2.803
,,797.480,2.803
,,798.476,2.803
,,799.472,2.803
,,800.467,2.803
,,801.463,2.803
,,802.458,2.803
,,803.454,2.803
,,804.450,2.803
,,805.445,2.803
,,806.441,2.803
,,807.437,2.803
,,808.432,2.803
,,809.428,2.803
,,810.423,2.803
,,811.419,2.803
,,812.415,2.803
,,813.410,2.803
,,814.406,2.803
,,815.401,2.803
,,816.397,2.803
,,817.393,2.803
,,818.388,2.803
,,819.384,2.803
,,820.379,2.803
,,821.375,2.803
,,822.371,2.803
,,823.366,2.803
,,824.362,2.803
,,825.357,2.803
,,826.353,2.803
,,827.349,2.803
,,828.344,2.803
,,829.340,2.803
,,830.335,2.803
,,831.331,2.803
,,832.327,2.803
,,833.322,2.803
,,834.318,2.803
,,835.313,2.803
,,836.309,2.803
,,837.305,2.803
,,838.300,2.803
,,839.296,2.803
,,840.292,2.803
,,841.287,2.803
,,842.283,2.803
,,843.278,2.803
,,844.274,2.803
,,845.270,2.803
,,846.265,2.803
,,847.261,2.803
,,848.256,2.803
,,849.252,2.803
,,850.248,2.803
,,851.243,2.803
,,852.239,2.803
,,853.234,2.803
,,854.230,2.803
,,855.226,2.803
,,856.221,2.803
,,857.217,2.803
,,858.212,2.803
,,859.208,2.803
,,860.204,2.803
,,861.199,2.803
,,862.195,2.803
,,863.190,2.803
,,864.186,2.803
,,865.182,2.803
,,866.177,2.803
,,867.173,2.803
,,868.169,2.803
,,869.164,2.803
,,870.160,2.803
,,871.155,2.803
,,872.151,2.803
,,873.147,2.803
,,874.142,2.803
,,875.138,2.803
,,876.133,2.803
,,877.129,2.803
,,878.125,2.803
,,879.120,2.803
,,880.116,2.803
,,881.111,2.803
,,882.107,2.803
,,883.103,2.803
,,884.098,2.803
,,885.094,2.803
,,886.089,2.803
,,887.085,2.803
,,888.081,2.803
,,889.076,2.803
,,890.072,2.803
,,891.067,2.803
,,892.063,2.803
,,893.059,2.803
,,894.054,2.803
,,895.050,2.803
,,896.045,2.803
,,897.041,2.803
,,898.037,2.803
,,899.032,2.803
,,900.028,2.803
,,901.023,2.803
,,902.019,2.803
,,903.015,2.803
,,904.010,2.803
,,905.006,2.803
,,906.002,2.803
,,906.997,2.803
,,907.993,2.803
,,908.988,2.803
,,909.984,2.803
,,910.980,2.803
,,911.975,2.803
,,912.971,2.803
,,913.966,2.803
,,914.962,2.803
,,915.958,2.803
,,916.953,2.803
,,917.949,2.803
,,918.944,2.803
,,919.940,2.803
,,920.936,2.803
,,921.931,2.803
,,922.927,2.803
,,923.922,2.803
,,924.918,2.803
,,925.914,2.803
,,926.909,2.803
,,927.905,2.803
,,928.900,2.803
,,929.896,2.803
,,930.892,2.803
,,931.887,2.803
,,932.883,2.803
,,933.878,2.803
,,934.874,2.803
,,935.870,2.803
,,936.865,2.803
,,937.861,2.803
,,938.857,2.803
,,939.852,2.803
,,940.848,2.803
,,941.843,2.803
,,942.839,2.803
,,943.835,2.803
,,944.830,2.803
,,945.826,2.803
,,946.821,2.803
,,947.817,2.803
,,948.813,2.803
,,949.808,2.803
,,950.804,2.803
,,951.799,2.803
,,952.795,2.803
,,953.791,2.803
,,954.786,2.803
,,955.782,2.803
,,956.777,2.803
,,957.773,2.803
,,958.769,2.803
,,959.764,2.803
,,960.760,2.803
,,961.755,2.803
,,962.751,2.803
,,963.747,2.803
,,964.742,2.803
,,965.738,2.803
,,966.734,2.803
,,967.729,2.803
,,968.725,2.803
,,969.720,2.803
,,970.716,2.803
,,971.712,2.803
,,972.707,2.803
,,973.703,2.803
,,974.698,2.803
,,975.694,2.803
,,976.690,2.803
,,977.685,2.803
,,978.681,2.803
,,979.676,2.803
,,980.672,2.803
,,981.668,2.803
,,982.663,2.803
,,983.659,2.803
,,984.654,2.803
,,985.650,2.803
,,986.646,2.803
,,987.641,2.803
,,988.637,2.803
,,989.632,2.803
,,990.628,2.803
,,991.624,2.803
,,992.619,2.803
,,993.615,2.803
,,994.610,2.803
