Distance_(microns),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
,,522.355,2.106
,,523.782,2.107
,,525.209,2.109
,,526.636,2.111
,,528.064,2.114
,,529.491,2.117
,,530.918,2.120
,,532.345,2.124
,,533.772,2.128
,,535.200,2.133
,,536.627,2.138
,,538.054,2.145
,,539.481,2.152
,,540.908,2.160
,,542.336,2.169
,,543.763,2.179
,,545.190,2.191
,,546.617,2.204
,,548.044,2.218
,,549.472,2.235
,,550.899,2.254
,,552.326,2.274
,,553.753,2.298
,,555.180,2.324
,,556.608,2.353
,,558.035,2.386
,,559.462,2.423
,,560.889,2.463
,,562.316,2.509
,,563.744,2.559
,,565.171,2.615
,,566.598,2.677
,,568.025,2.745
,,569.452,2.821
,,570.880,2.905
,,572.307,2.998
,,573.734,3.100
,,575.161,3.213
,,576.588,3.336
,,578.016,3.472
,,579.443,3.621
,,580.870,3.785
,,582.297,3.964
,,583.724,4.159
,,585.152,4.373
,,586.579,4.605
,,588.006,4.859
,,589.433,5.135
,,590.860,5.435
,,592.288,5.760
,,593.715,6.112
,,595.142,6.494
,,596.569,6.907
,,597.996,7.352
,,599.424,7.833
,,600.851,8.350
,,602.278,8.907
,,603.705,9.505
,,605.132,10.147
,,606.560,10.835
,,607.987,11.571
,,609.414,12.358
,,610.841,13.198
,,612.268,14.094
,,613.696,15.048
,,615.123,16.063
,,616.550,17.140
,,617.977,18.283
,,619.404,19.494
,,620.832,20.775
,,622.259,22.128
,,623.686,23.555
,,625.113,25.059
,,626.540,26.642
,,627.968,28.305
,,629.395,30.049
,,630.822,31.878
,,632.249,33.791
,,633.676,35.790
,,635.104,37.876
,,636.531,40.050
,,637.958,42.312
,,639.385,44.662
,,640.812,47.099
,,642.240,49.624
,,643.667,52.236
,,645.094,54.934
,,646.521,57.716
,,647.948,60.580
,,649.375,63.524
,,650.803,66.546
,,652.230,69.642
,,653.657,72.810
,,655.084,76.045
,,656.512,79.344
,,657.939,82.701
,,659.366,86.112
,,660.793,89.572
,,662.220,93.074
,,663.648,96.613
,,665.075,100.183
,,666.502,103.775
,,667.929,107.384
,,669.356,111.001
,,670.784,114.619
,,672.211,118.231
,,673.638,121.826
,,675.065,125.399
,,676.492,128.938
,,677.919,132.437
,,679.347,135.885
,,680.774,139.274
,,682.201,142.595
,,683.628,145.839
,,685.055,148.996
,,686.483,152.059
,,687.910,155.018
,,689.337,157.865
,,690.764,160.590
,,692.191,163.187
,,693.619,165.648
,,695.046,167.964
,,696.473,170.128
,,697.900,172.135
,,699.327,173.977
,,700.755,175.649
,,702.182,177.145
,,703.609,178.461
,,705.036,179.592
,,706.463,180.535
,,707.891,181.286
,,709.318,181.844
,,710.745,182.206
,,712.172,182.371
,,713.599,182.339
,,715.027,182.109
,,716.454,181.683
,,717.881,181.061
,,719.308,180.247
,,720.735,179.242
,,722.163,178.050
,,723.590,176.675
,,725.017,175.120
,,726.444,173.392
,,727.871,171.495
,,729.299,169.436
,,730.726,167.221
,,732.153,164.857
,,733.580,162.351
,,735.007,159.711
,,736.435,156.945
,,737.862,154.061
,,739.289,151.067
,,740.716,147.972
,,742.143,144.785
,,743.571,141.515
,,744.998,138.171
,,746.425,134.761
,,747.852,131.296
,,749.279,127.783
,,750.707,124.231
,,752.134,120.651
,,753.561,117.049
,,754.988,113.434
,,756.415,109.816
,,757.843,106.200
,,759.270,102.596
,,760.697,99.010
,,762.124,95.450
,,763.551,91.923
,,764.979,88.434
,,766.406,84.989
,,767.833,81.595
,,769.260,78.257
,,770.687,74.978
,,772.115,71.765
,,773.542,68.620
,,774.969,65.548
,,776.396,62.551
,,777.823,59.633
,,779.251,56.795
,,780.678,54.041
,,782.105,51.371
,,783.532,48.788
,,784.959,46.291
,,786.387,43.882
,,787.814,41.561
,,789.241,39.328
,,790.668,37.183
,,792.095,35.126
,,793.523,33.155
,,794.950,31.270
,,796.377,29.469
,,797.804,27.751
,,799.231,26.114
,,800.659,24.558
,,802.086,23.079
,,803.513,21.676
,,804.940,20.347
,,806.367,19.090
,,807.795,17.901
,,809.222,16.780
,,810.649,15.724
,,812.076,14.729
,,813.503,13.794
,,814.931,12.917
,,816.358,12.095
,,817.785,11.324
,,819.212,10.604
,,820.639,9.932
,,822.067,9.304
,,823.494,8.720
,,824.921,8.176
,,826.348,7.671
,,827.775,7.202
,,829.203,6.768
,,830.630,6.366
,,832.057,5.994
,,833.484,5.650
,,834.911,5.334
,,836.339,5.042
,,837.766,4.774
,,839.193,4.527
,,840.620,4.301
,,842.047,4.093
,,843.475,3.903
,,844.902,3.730
,,846.329,3.571
,,847.756,3.426
,,849.183,3.295
,,850.611,3.175
,,852.038,3.066
,,853.465,2.967
,,854.892,2.877
,,856.319,2.796
,,857.747,2.722
,,859.174,2.656
,,860.601,2.596
,,862.028,2.542
,,863.455,2.493
,,864.883,2.449
,,866.310,2.410
,,867.737,2.375
,,869.164,2.343
,,870.591,2.315
,,872.019,2.290
,,873.446,2.267
,,874.873,2.247
,,876.300,2.229
,,877.727,2.213
,,879.155,2.199
,,880.582,2.187
,,882.009,2.176
,,883.436,2.166
,,884.863,2.157
,,886.291,2.149
,,887.718,2.142
,,889.145,2.136
,,890.572,2.131
