Distance_(microns),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
,,335.809,3.506
,,336.814,3.507
,,337.819,3.507
,,338.825,3.508
,,339.830,3.509
,,340.836,3.509
,,341.841,3.510
,,342.847,3.511
,,343.852,3.513
,,344.857,3.514
,,345.863,3.515
,,346.868,3.517
,,347.874,3.519
,,348.879,3.521
,,349.884,3.523
,,350.890,3.526
,,351.895,3.529
,,352.901,3.533
,,353.906,3.537
,,354.911,3.541
,,355.917,3.546
,,356.922,3.551
,,357.928,3.557
,,358.933,3.564
,,359.939,3.572
,,360.944,3.580
,,361.949,3.590
,,362.955,3.600
,,363.960,3.612
,,364.966,3.625
,,365.971,3.640
,,366.976,3.656
,,367.982,3.674
,,368.987,3.694
,,369.993,3.716
,,370.998,3.740
,,372.004,3.767
,,373.009,3.797
,,374.014,3.830
,,375.020,3.866
,,376.025,3.906
,,377.031,3.950
,,378.036,3.998
,,379.041,4.051
,,380.047,4.110
,,381.052,4.174
,,382.058,4.244
,,383.063,4.320
,,384.069,4.404
,,385.074,4.495
,,386.079,4.595
,,387.085,4.704
,,388.090,4.823
,,389.096,4.952
,,390.101,5.093
,,391.106,5.245
,,392.112,5.411
,,393.117,5.591
,,394.123,5.785
,,395.128,5.996
,,396.134,6.224
,,397.139,6.471
,,398.144,6.737
,,399.150,7.023
,,400.155,7.333
,,401.161,7.665
,,402.166,8.023
,,403.171,8.408
,,404.177,8.820
,,405.182,9.263
,,406.188,9.737
,,407.193,10.245
,,408.198,10.788
,,409.204,11.368
,,410.209,11.987
,,411.215,12.647
,,412.220,13.351
,,413.226,14.099
,,414.231,14.895
,,415.236,15.740
,,416.242,16.637
,,417.247,17.588
,,418.253,18.595
,,419.258,19.660
,,420.263,20.786
,,421.269,21.976
,,422.274,23.230
,,423.280,24.552
,,424.285,25.944
,,425.291,27.407
,,426.296,28.945
,,427.301,30.559
,,428.307,32.251
,,429.312,34.024
,,430.318,35.879
,,431.323,37.817
,,432.328,39.841
,,433.334,41.952
,,434.339,44.152
,,435.345,46.442
,,436.350,48.822
,,437.356,51.294
,,438.361,53.859
,,439.366,56.517
,,440.372,59.269
,,441.377,62.114
,,442.383,65.053
,,443.388,68.085
,,444.393,71.209
,,445.399,74.425
,,446.404,77.731
,,447.410,81.127
,,448.415,84.609
,,449.421,88.177
,,450.426,91.828
,,451.431,95.559
,,452.437,99.367
,,453.442,103.248
,,454.448,107.200
,,455.453,111.218
,,456.458,115.298
,,457.464,119.435
,,458.469,123.624
,,459.475,127.861
,,460.480,132.139
,,461.486,136.452
,,462.491,140.795
,,463.496,145.161
,,464.502,149.543
,,465.507,153.934
,,466.513,158.327
,,467.518,162.715
,,468.523,167.090
,,469.529,171.445
,,470.534,175.771
,,471.540,180.059
,,472.545,184.303
,,473.550,188.494
,,474.556,192.623
,,475.561,196.682
,,476.567,200.663
,,477.572,204.557
,,478.578,208.356
,,479.583,212.052
,,480.588,215.636
,,481.594,219.101
,,482.599,222.439
,,483.605,225.642
,,484.610,228.703
,,485.615,231.614
,,486.621,234.370
,,487.626,236.963
,,488.632,239.387
,,489.637,241.636
,,490.643,243.705
,,491.648,245.589
,,492.653,247.283
,,493.659,248.783
,,494.664,250.085
,,495.670,251.187
,,496.675,252.084
,,497.680,252.776
,,498.686,253.260
,,499.691,253.535
,,500.697,253.600
,,501.702,253.456
,,502.708,253.102
,,503.713,252.540
,,504.718,251.770
,,505.724,250.795
,,506.729,249.618
,,507.735,248.241
,,508.740,246.667
,,509.745,244.901
,,510.751,242.947
,,511.756,240.809
,,512.762,238.494
,,513.767,236.005
,,514.772,233.351
,,515.778,230.535
,,516.783,227.567
,,517.789,224.451
,,518.794,221.197
,,519.800,217.810
,,520.805,214.299
,,521.810,210.672
,,522.816,206.936
,,523.821,203.100
,,524.827,199.173
,,525.832,195.162
,,526.837,191.075
,,527.843,186.922
,,528.848,182.710
,,529.854,178.448
,,530.859,174.144
,,531.865,169.807
,,532.870,165.444
,,533.875,161.063
,,534.881,156.672
,,535.886,152.278
,,536.892,147.890
,,537.897,143.513
,,538.902,139.155
,,539.908,134.823
,,540.913,130.522
,,541.919,126.259
,,542.924,122.040
,,543.930,117.870
,,544.935,113.754
,,545.940,109.697
,,546.946,105.703
,,547.951,101.777
,,548.957,97.923
,,549.962,94.144
,,550.967,90.443
,,551.973,86.823
,,552.978,83.287
,,553.984,79.837
,,554.989,76.475
,,555.995,73.202
,,557.000,70.021
,,558.005,66.931
,,559.011,63.935
,,560.016,61.031
,,561.022,58.221
,,562.027,55.505
,,563.032,52.882
,,564.038,50.352
,,565.043,47.914
,,566.049,45.568
,,567.054,43.313
,,568.060,41.146
,,569.065,39.068
,,570.070,37.077
,,571.076,35.170
,,572.081,33.346
,,573.087,31.605
,,574.092,29.942
,,575.097,28.357
,,576.103,26.847
,,577.108,25.411
,,578.114,24.046
,,579.119,22.750
,,580.124,21.520
,,581.130,20.355
,,582.135,19.252
,,583.141,18.209
,,584.146,17.223
,,585.152,16.293
,,586.157,15.415
,,587.162,14.589
,,588.168,13.811
,,589.173,13.080
,,590.179,12.394
,,591.184,11.749
,,592.189,11.145
,,593.195,10.579
,,594.200,10.050
,,595.206,9.555
,,596.211,9.093
,,597.217,8.662
,,598.222,8.260
,,599.227,7.885
,,600.233,7.537
,,601.238,7.213
,,602.244,6.913
,,603.249,6.634
,,604.254,6.376
,,605.260,6.136
,,606.265,5.915
,,607.271,5.710
,,608.276,5.521
,,609.281,5.347
,,610.287,5.186
,,611.292,5.038
,,612.298,4.902
,,613.303,4.777
,,614.309,4.662
,,615.314,4.557
,,616.319,4.460
,,617.325,4.371
,,618.330,4.290
,,619.336,4.216
,,620.341,4.149
,,621.346,4.087
,,622.352,4.031
,,623.357,3.980
,,624.363,3.933
,,625.368,3.891
,,626.374,3.852
,,627.379,3.817
,,628.384,3.786
,,629.390,3.757
,,630.395,3.731
,,631.401,3.707
,,632.406,3.686
,,633.411,3.667
,,634.417,3.650
,,635.422,3.634
,,636.428,3.620
,,637.433,3.608
,,638.439,3.596
,,639.444,3.586
,,640.449,3.577
,,641.455,3.569
,,642.460,3.561
,,643.466,3.555
,,644.471,3.549
,,645.476,3.544
,,646.482,3.539
,,647.487,3.535
,,648.493,3.531
,,649.498,3.528
,,650.504,3.525
,,651.509,3.523
,,652.514,3.520
,,653.520,3.518
,,654.525,3.516
,,655.531,3.515
,,656.536,3.513
,,657.541,3.512
,,658.547,3.511
,,659.552,3.510
,,660.558,3.509
,,661.563,3.508
,,662.568,3.508
,,663.574,3.507
,,664.579,3.507
,,665.585,3.506
,,666.590,3.506
,,667.596,3.505
,,668.601,3.505
,,669.606,3.505
,,670.612,3.505
,,671.617,3.504
,,672.623,3.504
,,673.628,3.504
,,674.633,3.504
,,675.639,3.504
,,676.644,3.504
,,677.650,3.504
,,678.655,3.504
,,679.661,3.504
,,680.666,3.503
,,681.671,3.503
,,682.677,3.503
,,683.682,3.503
,,684.688,3.503
,,685.693,3.503
,,686.698,3.503
,,687.704,3.503
,,688.709,3.503
,,689.715,3.503
,,690.720,3.503
,,691.726,3.503
,,692.731,3.503
,,693.736,3.503
,,694.742,3.503
,,695.747,3.503
,,696.753,3.503
,,697.758,3.503
,,698.763,3.503
,,699.769,3.503
,,700.774,3.503
,,701.780,3.503
,,702.785,3.503
,,703.791,3.503
,,704.796,3.503
,,705.801,3.503
,,706.807,3.503
,,707.812,3.503
,,708.818,3.503
,,709.823,3.503
,,710.828,3.503
,,711.834,3.503
,,712.839,3.503
,,713.845,3.503
,,714.850,3.503
,,715.855,3.503
,,716.861,3.503
,,717.866,3.503
,,718.872,3.503
,,719.877,3.503
,,720.883,3.503
,,721.888,3.503
,,722.893,3.503
,,723.899,3.503
,,724.904,3.503
,,725.910,3.503
,,726.915,3.503
,,727.920,3.503
,,728.926,3.503
,,729.931,3.503
,,730.937,3.503
,,731.942,3.503
,,732.948,3.503
,,733.953,3.503
,,734.958,3.503
,,735.964,3.503
,,736.969,3.503
,,737.975,3.503
,,738.980,3.503
,,739.985,3.503
,,740.991,3.503
,,741.996,3.503
,,743.002,3.503
,,744.007,3.503
,,745.013,3.503
,,746.018,3.503
,,747.023,3.503
,,748.029,3.503
,,749.034,3.503
,,750.040,3.503
,,751.045,3.503
,,752.050,3.503
,,753.056,3.503
,,754.061,3.503
,,755.067,3.503
,,756.072,3.503
,,757.078,3.503
,,758.083,3.503
,,759.088,3.503
,,760.094,3.503
,,761.099,3.503
,,762.105,3.503
,,763.110,3.503
,,764.115,3.503
,,765.121,3.503
,,766.126,3.503
,,767.132,3.503
,,768.137,3.503
,,769.143,3.503
,,770.148,3.503
,,771.153,3.503
,,772.159,3.503
,,773.164,3.503
,,774.170,3.503
,,775.175,3.503
,,776.180,3.503
,,777.186,3.503
,,778.191,3.503
,,779.197,3.503
,,780.202,3.503
,,781.207,3.503
,,782.213,3.503
,,783.218,3.503
,,784.224,3.503
,,785.229,3.503
,,786.235,3.503
,,787.240,3.503
,,788.245,3.503
,,789.251,3.503
,,790.256,3.503
,,791.262,3.503
,,792.267,3.503
,,793.272,3.503
,,794.278,3.503
,,795.283,3.503
,,796.289,3.503
,,797.294,3.503
,,798.299,3.503
,,799.305,3.503
,,800.310,3.503
,,801.316,3.503
,,802.321,3.503
,,803.327,3.503
,,804.332,3.503
,,805.337,3.503
,,806.343,3.503
,,807.348,3.503
,,808.354,3.503
,,809.359,3.503
,,810.365,3.503
,,811.370,3.503
,,812.375,3.503
,,813.381,3.503
,,814.386,3.503
,,815.392,3.503
,,816.397,3.503
,,817.402,3.503
,,818.408,3.503
,,819.413,3.503
,,820.419,3.503
,,821.424,3.503
,,822.430,3.503
,,823.435,3.503
,,824.440,3.503
,,825.446,3.503
,,826.451,3.503
,,827.457,3.503
,,828.462,3.503
,,829.467,3.503
,,830.473,3.503
,,831.478,3.503
,,832.484,3.503
,,833.489,3.503
,,834.494,3.503
,,835.500,3.503
,,836.505,3.503
,,837.511,3.503
,,838.516,3.503
,,839.522,3.503
,,840.527,3.503
,,841.532,3.503
,,842.538,3.503
,,843.543,3.503
,,844.549,3.503
,,845.554,3.503
,,846.559,3.503
,,847.565,3.503
,,848.570,3.503
,,849.576,3.503
,,850.581,3.503
,,851.587,3.503
,,852.592,3.503
,,853.597,3.503
,,854.603,3.503
,,855.608,3.503
,,856.614,3.503
,,857.619,3.503
,,858.624,3.503
,,859.630,3.503
,,860.635,3.503
,,861.641,3.503
,,862.646,3.503
,,863.651,3.503
,,864.657,3.503
,,865.662,3.503
,,866.668,3.503
,,867.673,3.503
,,868.679,3.503
,,869.684,3.503
,,870.689,3.503
,,871.695,3.503
,,872.700,3.503
,,873.706,3.503
,,874.711,3.503
,,875.716,3.503
,,876.722,3.503
,,877.727,3.503
,,878.733,3.503
,,879.738,3.503
,,880.744,3.503
,,881.749,3.503
,,882.754,3.503
,,883.760,3.503
,,884.765,3.503
,,885.771,3.503
,,886.776,3.503
,,887.781,3.503
,,888.787,3.503
,,889.792,3.503
,,890.798,3.503
,,891.803,3.503
,,892.809,3.503
,,893.814,3.503
,,894.819,3.503
,,895.825,3.503
,,896.830,3.503
,,897.836,3.503
,,898.841,3.503
,,899.846,3.503
,,900.852,3.503
,,901.857,3.503
,,902.863,3.503
,,903.868,3.503
,,904.874,3.503
,,905.879,3.503
,,906.884,3.503
,,907.890,3.503
,,908.895,3.503
,,909.901,3.503
,,910.906,3.503
,,911.911,3.503
,,912.917,3.503
,,913.922,3.503
,,914.928,3.503
,,915.933,3.503
,,916.938,3.503
,,917.944,3.503
,,918.949,3.503
,,919.955,3.503
,,920.960,3.503
,,921.966,3.503
,,922.971,3.503
,,923.976,3.503
,,924.982,3.503
,,925.987,3.503
,,926.993,3.503
,,927.998,3.503
,,929.003,3.503
,,930.009,3.503
,,931.014,3.503
,,932.020,3.503
,,933.025,3.503
,,934.031,3.503
,,935.036,3.503
,,936.041,3.503
,,937.047,3.503
,,938.052,3.503
,,939.058,3.503
,,940.063,3.503
,,941.068,3.503
,,942.074,3.503
,,943.079,3.503
,,944.085,3.503
,,945.090,3.503
,,946.096,3.503
,,947.101,3.503
,,948.106,3.503
,,949.112,3.503
,,950.117,3.503
,,951.123,3.503
,,952.128,3.503
,,953.133,3.503
,,954.139,3.503
,,955.144,3.503
,,956.150,3.503
,,957.155,3.503
,,958.161,3.503
,,959.166,3.503
,,960.171,3.503
,,961.177,3.503
,,962.182,3.503
,,963.188,3.503
,,964.193,3.503
,,965.198,3.503
,,966.204,3.503
,,967.209,3.503
,,968.215,3.503
,,969.220,3.503
,,970.226,3.503
,,971.231,3.503
,,972.236,3.503
,,973.242,3.503
,,974.247,3.503
,,975.253,3.503
,,976.258,3.503
,,977.263,3.503
,,978.269,3.503
,,979.274,3.503
,,980.280,3.503
,,981.285,3.503
,,982.290,3.503
,,983.296,3.503
,,984.301,3.503
,,985.307,3.503
,,986.312,3.503
,,987.318,3.503
,,988.323,3.503
,,989.328,3.503
,,990.334,3.503
,,991.339,3.503
,,992.345,3.503
,,993.350,3.503
,,994.355,3.503
,,995.361,3.503
,,996.366,3.503
,,997.372,3.503
,,998.377,3.503
,,999.383,3.503
,,1000.388,3.503
,,1001.393,3.503
,,1002.399,3.503
,,1003.404,3.503
,,1004.410,3.503
