Distance_(microns),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
,,301.227,2.059
,,302.095,2.060
,,302.963,2.062
,,303.832,2.064
,,304.700,2.066
,,305.568,2.069
,,306.436,2.071
,,307.304,2.074
,,308.172,2.078
,,309.040,2.082
,,309.908,2.086
,,310.776,2.091
,,311.644,2.096
,,312.512,2.102
,,313.380,2.109
,,314.249,2.116
,,315.117,2.124
,,315.985,2.134
,,316.853,2.144
,,317.721,2.155
,,318.589,2.167
,,319.457,2.180
,,320.325,2.195
,,321.193,2.212
,,322.061,2.230
,,322.929,2.250
,,323.798,2.272
,,324.666,2.297
,,325.534,2.323
,,326.402,2.352
,,327.270,2.384
,,328.138,2.420
,,329.006,2.458
,,329.874,2.500
,,330.742,2.546
,,331.610,2.596
,,332.478,2.651
,,333.347,2.711
,,334.215,2.776
,,335.083,2.846
,,335.951,2.923
,,336.819,3.007
,,337.687,3.098
,,338.555,3.196
,,339.423,3.303
,,340.291,3.418
,,341.159,3.543
,,342.027,3.678
,,342.896,3.823
,,343.764,3.981
,,344.632,4.150
,,345.500,4.332
,,346.368,4.529
,,347.236,4.740
,,348.104,4.967
,,348.972,5.210
,,349.840,5.471
,,350.708,5.751
,,351.576,6.050
,,352.445,6.370
,,353.313,6.713
,,354.181,7.078
,,355.049,7.467
,,355.917,7.883
,,356.785,8.325
,,357.653,8.795
,,358.521,9.295
,,359.389,9.826
,,360.257,10.389
,,361.125,10.986
,,361.994,11.618
,,362.862,12.287
,,363.730,12.994
,,364.598,13.741
,,365.466,14.528
,,366.334,15.359
,,367.202,16.234
,,368.070,17.154
,,368.938,18.121
,,369.806,19.137
,,370.674,20.203
,,371.543,21.321
,,372.411,22.491
,,373.279,23.715
,,374.147,24.995
,,375.015,26.331
,,375.883,27.725
,,376.751,29.177
,,377.619,30.690
,,378.487,32.263
,,379.355,33.897
,,380.223,35.594
,,381.092,37.354
,,381.960,39.176
,,382.828,41.062
,,383.696,43.013
,,384.564,45.026
,,385.432,47.104
,,386.300,49.245
,,387.168,51.449
,,388.036,53.716
,,388.904,56.044
,,389.772,58.433
,,390.641,60.882
,,391.509,63.389
,,392.377,65.953
,,393.245,68.572
,,394.113,71.244
,,394.981,73.968
,,395.849,76.740
,,396.717,79.558
,,397.585,82.420
,,398.453,85.322
,,399.321,88.261
,,400.189,91.235
,,401.058,94.239
,,401.926,97.269
,,402.794,100.322
,,403.662,103.394
,,404.530,106.480
,,405.398,109.576
,,406.266,112.677
,,407.134,115.779
